CO,Gid,NUMID,Lat,Lon,City,ADMIN,Near,Distance,share,ag,nonag,VFI,KAC
MW,MW9,9,-11.37,33.882,Ekwendeni,1684,MW6561,18,0.03796,0.14,0.41,1,1
TZ,TZ1,1,-3.384,36.861,Arusha2,3048,TZ6447,21,0.02024,0.02,0.98,1,1
TZ,TZ11,11,-6.643,37.716,Morogoro2,3059,TZ6445,21,0.01822,0.05,0.61,1,1
TZ,TZ12,12,-3.327,37.155,Moshi2,3054,TZ2524,21,0.01113,0.1,0.6,1,1
TZ,TZ13,13,-2.662,33.01,Mwanza2,3061,TZ6444,18,0.03441,0.01,0.97,1,1
TZ,TZ14,14,-4.362,33.273,Nzega2,3069,TZ2488,20,0.02227,0.03,0.52,1,1
TZ,TZ16,16,-4.64,34.709,Shinyanga,3069,TZ2518,20,0.00304,0.35,0.55,1,1
TZ,TZ18,18,-4.655,34.557,Singida2,3069,TZ2518,27,0.00304,0.35,0.55,1,1
TZ,TZ20,20,-5.211,38.972,Tanga2,3070,TZ5787,21,0.01619,0.3,0.5,1,1
TZ,TZ2488,2488,-4.21,33.18,Nzega,3069,TZ2488,0,0.09109,0.03,0.52,1,2
TZ,TZ2491,2491,-1.32,31.8,Bukoba,3052,TZ2491,0,0.03644,0.18,0.66,1,2
TZ,TZ2518,2518,-4.82,34.74,Singida,3069,TZ2518,0,0.02733,0.35,0.55,1,2
TZ,TZ2524,2524,-3.34,37.34,Moshi,3054,TZ2524,0,0.04555,0.1,0.6,1,2
TZ,TZ2526,2526,-5.09,38.54,Korogwe,3070,TZ2526,0,0.07287,0.01,0.99,1,2
TZ,TZ4,4,-6.045,35.878,Dodoma2,3050,TZ6446,21,0.02024,0.18,0.8,1,1
TZ,TZ5787,5787,-5.07,39.09,Tanga,3070,TZ5787,0,0.06377,0.3,0.5,1,2
TZ,TZ6444,6444,-2.52,32.93,Mwanza,3061,TZ6444,0,0.13664,0.01,0.97,1,2
TZ,TZ6445,6445,-6.82,37.66,Morogoro,3059,TZ6445,0,0.07287,0.05,0.61,1,2
TZ,TZ6446,6446,-6.183,35.75,Dodoma,3050,TZ6446,0,0.08198,0.18,0.8,1,2
TZ,TZ6447,6447,-3.36,36.67,Arusha,3048,TZ6447,0,0.08198,0.02,0.98,1,2
TZ,TZ7,7,-1.19,31.682,Kagera,3052,TZ2491,20,0.00911,0.18,0.66,1,1
TZ,TZ7145,7145,-6.8,39.268,Dar es Salaam,3049,TZ7145,0,0.11336,0.15,0.97,1,2
TZ,TZ9,9,-5.24,38.31,Korogwe2,3070,TZ2526,31,0.01822,0.01,0.99,1,1
UG,UG1,1,2.422,32.633,Aber,3391,UG19,13,0.00758,0.4,0.4,1,1
UG,UG10,10,0.411,32.799,Mukono,3384,UG23,8,0.00433,0.29,0.08,1,1
UG,UG11,11,0.208,32.16,Mpigi2,3382,UG22,17,0.00433,0.6,0.15,1,1
UG,UG12,12,0.208,32.567,Nsangi,3400,UG27,12,0.00433,0.48,0.24,1,1
UG,UG13,13,1.695,33.785,Soroti2,3398,UG2456,21,0.00542,0.36,0.21,1,1
UG,UG14,14,0.83,34.06,Tororo2,3399,UG2467,18,0.00108,0.06,0.54,1,1
UG,UG15,15,0.119,32.589,Wakawuka,3400,UG27,16,0.00433,0.48,0.24,1,1
UG,UG16,16,0.444,32.378,Wakiso,3400,UG25,12,0.00108,0.47,0.01,1,1
UG,UG17,17,0.808,32.523,Wobulenzi,3370,UG21,10,0.00433,0.48,0.24,1,1
UG,UG18,18,0.516,32.309,Zigoti,3379,UG26,22,0.00433,0.48,0.24,1,1
UG,UG19,19,2.316,32.686,Aber,3391,UG19,0,0.03142,0.4,0.4,1,1
UG,UG2,2,-0.029,32.077,Buwama,3382,UG22,11,0.00433,0.6,0.15,1,1
UG,UG20,20,0.323,32.569,Kampala,3352,UG20,0,0.26111,0.75,0.05,1,1
UG,UG6829,6829,0.317,32.583,Kampala,3352,UG20,2,0.11159,0.75,0.05,1,2
UG,UG21,21,0.72,32.53,Wobulenzi,3370,UG21,0,0.02709,0.48,0.24,1,1
UG,UG22,22,0.064,32.109,Buwama,3382,UG22,0,0.03142,0.6,0.15,1,1
UG,UG23,23,0.353,32.755,Mukono,3384,UG23,0,0.03142,0.29,0.08,1,1
UG,UG24,24,0.279,32.474,Nsangi,3400,UG24,0,0.039,0.48,0.24,1,1
UG,UG2456,2456,1.71,33.6,Soroti,3398,UG2456,0,0.02384,0.36,0.21,1,2
UG,UG2460,2460,0.06,32.46,Entebbe,3400,UG27,14,0.00433,0.48,0.24,1,2
UG,UG2462,2462,0.4,32.05,Mityana,3379,UG26,13,0.00433,0.48,0.24,1,2
UG,UG2464,2464,2.26,32.89,Lira,3369,UG2464,0,0.03142,0.7,0.05,1,2
UG,UG2466,2466,1.09,34.17,Mbale,3338,UG2466,0,0.03142,0.15,0.75,1,2
UG,UG2467,2467,0.71,34.17,Tororo,3399,UG2467,0,0.00758,0.06,0.54,1,2
UG,UG2493,2493,-0.33,31.73,Masaka,3374,UG2493,0,0.04659,0.7,0.2,1,2
UG,UG25,25,0.399,32.478,Wakiso,3400,UG25,0,0.00758,0.47,0.01,1,1
UG,UG26,26,0.379,32.166,Zigoti,3379,UG26,0,0.03142,0.48,0.24,1,1
UG,UG27,27,0.188,32.462,Nakawuka,3400,UG27,0,0.02384,0.48,0.24,1,1
UG,UG28,28,-0.632,31.543,Kyotera,3394,UG28,0,0.03142,0.48,0.24,1,1
